labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
AC2-01,	2,	0.318356111,	130.9299075,	10.04131884,	2,	23.67773563,	1.852270116,	2019.917
AC2-02,	3,	0.260551634,	139.2187322,	16.3886545,	1,	28.03760054,	2.894566473,	0
AC2-03,	4,	0.348446838,	117.3962156,	16.33105836,	1,	34.3832832,	3.292496549,	2
AC2-04,	6,	0.394926603,	83.10897017,	9.973055227,	2,	30.50011146,	2.087655598,	
AC2-05,	8,	0.422110453,	70.88648115,	13.03659523,	2,	34.54803701,	3.101425924,	
AC2-06,	10,	0.414858398,	64.74364303,	8.702720508,	2,	34.62411776,	2.175846019,	
AC2-07,	12,	0.515073768,	57.96395902,	12.90970484,	2,	37.26544684,	3.350332871,	
AC2-08,	14,	0.477519026,	49.81520647,	8.475405725,	2,	34.78823684,	2.293264025,	
AC2-09,	16,	0.545732245,	39.73112686,	9.73720837,	2,	40.26864265,	3.125274451,	
AC2-10,	18,	0.582397513,	37.25277674,	7.395579158,	2,	37.38911054,	2.175372388,	
AC2-11,	20,	0.565766235,	39.41952095,	9.737140534,	2,	38.92592906,	3.104311394,	
AC2-12,	22,	0.635981717,	39.33766074,	8.114671872,	2,	33.81768829,	2.222002126,	
AC2-13,	24,	0.583938007,	23.30046135,	9.061320161,	2,	38.14531293,	3.444076589,	
AC2-14,	26,	0.590391427,	33.76505939,	8.442586768,	2,	37.91768185,	2.554503246,	
AC2-15,	28,	0.593673019,	27.28159714,	9.849048731,	2,	34.02010232,	3.074991254,	
AC2-16,	30,	0.617389811,	33.57529277,	7.177129504,	2,	26.52610041,	1.881372837,	
AC2-17,	32,	0.542511213,	27.13572823,	9.03876036,	2,	35.99351062,	3.403884559,	
AC2-18,	34,	0.573551974,	29.09518217,	7.875207163,	2,	40.73862484,	2.752511388,	
AC2-19,	36,	0.582249898,	34.67247403,	9.136282445,	2,	37.20919834,	3.165290679,	
AC2-20,	38,	0.49989593,	38.54447305,	10.49967871,	2,	45.00267706,	3.11658753,	
AC2-21,	40,	0.598339921,	31.47901774,	10.56130343,	2,	38.88175876,	3.225423052,	
AC2-22,	42,	0.547969179,	28.05567669,	6.190181017,	2,	39.86301297,	2.434329178,	
AC2-23,	44,	0.572741985,	28.52392939,	10.73509058,	2,	39.99059706,	3.327633954,	
AC2-24,	46,	0.567480839,	40.69861879,	8.466022314,	2,	39.06372733,	2.592957651,	
AC2-25,	48,	0.539134995,	37.27232237,	10.66744084,	2,	37.2778433,	3.12682507,	
AC2-26,	50,	0.534119874,	34.54991665,	7.67809646,	2,	33.69201753,	2.263812796,	
