labID,	depth(cm),	density(g/cm^3),	210Pb(Bq/kg),	sd(210Pb),	thickness(cm),	226Ra(Bq/kg),	sd(226Ra),	settings
S3_01,	12,	0.423533612,	73.33550238,	8.450773105,	2,	50.59147464,	8.613427591,	2021.167
S3_02,	13,	0.398522351,	87.88210398,	13.99684619,	1,	38.02467712,	3.042595292,	2
S3_03,	14,	0.474014119,	75.51772807,	12.5291562,	1,	36.22159385,	2.998501104,	1
S3_04,	16,	0.460592519,	67.62556334,	10.95442603,	2,	40.25356705,	2.661503491,	
S3_05,	18,	0.496985267,	60.17473057,	9.719312299,	2,	35.44508357,	2.921857035,	
S3_06,	20,	0.51906694,	50.52203388,	9.604730362,	2,	31.14249396,	2.294831079,	
S3_07,	22,	0.541572533,	32.48485552,	11.45357813,	2,	38.23181182,	2.930362774,	
S3_08,	24,	0.55876399,	29.82249496,	7.466776303,	2,	30.89576955,	2.217324424,	
S3_09,	26,	0.490675677,	39.91922251,	10.32486333,	2,	37.16302351,	3.048008887,	
S3_10,	28,	0.497583296,	56.68032516,	9.642018004,	2,	41.03628361,	2.649851856,	
S3_11,	30,	0.570043282,	51.90955686,	12.28911995,	2,	33.38216537,	2.936584176,	
S3_12,	32,	0.549097108,	27.82275104,	7.608438067,	2,	35.54647226,	2.623832703,	
S3_13,	34,	0.582832787,	32.8297947,	10.29022144,	2,	32.85438331,	3.019139632,	
S3_14,	36,	0.582806292,	25.73465831,	7.357773485,	2,	29.79772564,	2.053870173,	
S3_15,	38,	0.576625392,	27.34855637,	8.430338481,	2,	30.48271815,	2.530688487,	
S3_16,	40,	0.568578488,	30.18752487,	7.243514248,	2,	33.37094553,	2.063877065,	
S3_17,	42,	0.621345133,	47.78326026,	10.1520239,	2,	35.01049269,	2.908428102,	
S3_18,	44,	0.543131952,	23.23989036,	9.021012592,	2,	29.56809794,	2.182458263,	
S3_19,	46,	0.587094694,	37.00500325,	11.54154401,	2,	29.77063036,	2.641081542,	
S3_20,	48,	0.449722007,	30.4773888,	6.923721696,	2,	30.52064559,	1.998455417,	
S3_21,	50,	0.289949707,	23.86675488,	9.732120093,	2,	28.24300888,	2.511799111,	
S3_22,	52,	0.179931195,	16.4976506,	5.780366906,	2,	17.87348057,	1.616714227,	
S3_23,	54,	0.162853288,	10.1094552,	8.482308619,	2,	15.9303439,	2.390065374,	
