location,depth.cm,water.percent,bulk.density.gcm3,median.grainsize.um
North,0,67.48,,76.2
North,1,66.96,0.39,60.2
North,2,65.53,0.25,60.3
North,3,64.93,0.26,55
North,4,64.34,0.35,54.9
North,6,60.56,0.39,66.6
North,8,60.8,0.42,69.7
North,10,58.32,0.41,68.4
North,12,57.35,0.52,56.9
North,14,54.95,0.48,40.5
North,16,54.12,0.55,33.3
North,18,53.54,0.58,34.2
North,20,50.46,0.57,26.4
North,22,49.54,0.64,26.4
North,24,49.85,0.58,29.2
North,26,51.78,0.59,25.6
North,28,49.51,0.59,23.6
North,30,51.33,0.62,23.9
North,32,51.3,0.54,20.7
North,34,49.89,0.57,19.9
North,36,50.9,0.58,20.3
North,38,52.35,0.5,29
North,40,49.41,0.6,27.1
North,42,50.87,0.55,26.5
North,44,50.45,0.57,26.4
North,46,49.67,0.57,24.1
North,48,48.62,0.54,23.4
North,50,49.16,0.53,25.3
North,52,49.58,,27.1
Middle,0,66.87,,86.1
Middle,1,65.14,0.29,64.2
Middle,2,65.01,0.31,67.3
Middle,3,63.9,0.29,63.9
Middle,4,64.14,0.29,56.6
Middle,6,63.35,0.3,63.9
Middle,8,61.9,0.34,58.9
Middle,10,60.75,0.35,57.8
Middle,12,59.64,0.34,65.4
Middle,14,58.14,0.37,63.3
Middle,16,57.58,0.4,56.3
Middle,18,56.31,0.43,37.3
Middle,20,52.59,0.49,36
Middle,22,46.17,0.53,57.2
Middle,24,46.49,0.64,48
Middle,26,44.81,0.63,39.1
Middle,28,47.24,0.62,32.2
Middle,30,46.92,0.71,31.9
Middle,32,44.45,0.67,32.3
Middle,34,46.04,0.67,29.6
Middle,36,43.71,0.68,37.9
Middle,38,43.58,0.74,29.2
Middle,40,42.11,0.79,34.4
Middle,42,36.47,0.95,28.9
Middle,44,44.67,0.72,46.9
Middle,46,42.63,0.77,22.6
Middle,48,28.8,1.21,196.9
Middle,50,18.8,1.23,242.1
Middle,52,21.15,,74
South,0,67.68,,54.8
South,1,62.37,0.45,36.3
South,2,59.59,0.4,41.6
South,3,58.45,0.4,38.8
South,4,68.1,0.47,44.8
South,6,55.74,0.46,34.6
South,8,56.58,0.5,25.6
South,10,53.24,0.52,32
South,12,53.45,0.54,24.6
South,14,53.04,0.56,36
South,16,52.56,0.49,31
South,18,53.51,0.5,37.2
South,20,53.01,0.57,30.3
South,22,51.54,0.55,30.9
South,24,50.86,0.58,37.6
South,26,51.2,0.58,27
South,28,51.17,0.58,24.5
South,30,52.06,0.57,25.9
South,32,51.6,0.62,38.6
South,34,53.07,0.54,49.1
South,36,53.71,0.59,73.8
South,38,59.91,0.45,137.6
South,40,74.94,0.29,165.8
South,42,82.52,0.18,252
South,44,83.73,0.16,239
South,46,85.12,,225.2
